Dia;Numero_SMS;Tipo_Mensagens;Operadora;Canal
01-jan;12;Enviadas;MVTEL;SMART IZI
01-jan;39;Enviadas;VDCOM;SMART IZI
01-jan;63;Enviadas;MCEL;SMART IZI
01-jan;9966;Enviadas;MVTEL;IZI
01-jan;39006;Enviadas;MCEL ;IZI
01-jan;39675;Enviadas;VDCOM;IZI
02-jan;16;Enviadas;MVTEL;SMART IZI
02-jan;101;Enviadas;MCEL;SMART IZI
02-jan;115;Enviadas;VDCOM;SMART IZI
02-jan;9197;Enviadas;MVTEL;IZI
02-jan;35848;Enviadas;VDCOM;IZI
02-jan;41574;Enviadas;MCEL ;IZI
03-jan;15;Enviadas;MVTEL;SMART IZI
03-jan;131;Enviadas;VDCOM;SMART IZI
03-jan;159;Enviadas;MCEL;SMART IZI
03-jan;9266;Enviadas;MVTEL;IZI
03-jan;37286;Enviadas;VDCOM;IZI
03-jan;43830;Enviadas;MCEL ;IZI
04-jan;29;Enviadas;MVTEL;SMART IZI
04-jan;144;Enviadas;MCEL;SMART IZI
04-jan;161;Enviadas;VDCOM;SMART IZI
04-jan;9000;Enviadas;MVTEL;IZI
04-jan;37945;Enviadas;VDCOM;IZI
04-jan;44447;Enviadas;MCEL ;IZI
05-jan;26;Enviadas;MVTEL;SMART IZI
05-jan;129;Enviadas;VDCOM;SMART IZI
05-jan;136;Enviadas;MCEL;SMART IZI
05-jan;9153;Enviadas;MVTEL;IZI
05-jan;39201;Enviadas;VDCOM;IZI
05-jan;45223;Enviadas;MCEL ;IZI
06-jan;4;Enviadas;MCEL;SMART IZI
06-jan;14;Enviadas;MVTEL;SMART IZI
06-jan;97;Enviadas;VDCOM;SMART IZI
06-jan;8372;Enviadas;MVTEL;IZI
06-jan;35025;Enviadas;VDCOM;IZI
06-jan;39358;Enviadas;MCEL ;IZI
07-jan;8;Enviadas;MVTEL;SMART IZI
07-jan;83;Enviadas;VDCOM;SMART IZI
07-jan;228;Enviadas;MCEL;SMART IZI
07-jan;7399;Enviadas;MVTEL;IZI
07-jan;29387;Enviadas;VDCOM;IZI
07-jan;33411;Enviadas;MCEL ;IZI
08-jan;18;Enviadas;MVTEL;SMART IZI
08-jan;116;Enviadas;VDCOM;SMART IZI
08-jan;149;Enviadas;MCEL;SMART IZI
08-jan;9628;Enviadas;MVTEL;IZI
08-jan;37724;Enviadas;VDCOM;IZI
08-jan;43570;Enviadas;MCEL ;IZI
