Dia;Numero_SMS;Tipo_Mensagens;Operadora;Canal
01-Dec;223;Enviadas;MCEL;SMART IZI
02-Dec;97;Enviadas;MCEL;SMART IZI
03-Dec;70;Enviadas;MCEL;SMART IZI
04-Dec;132;Enviadas;MCEL;SMART IZI
05-Dec;138;Enviadas;MCEL;SMART IZI
06-Dec;174;Enviadas;MCEL;SMART IZI
07-Dec;157;Enviadas;MCEL;SMART IZI
08-Dec;112;Enviadas;MCEL;SMART IZI
09-Dec;112;Enviadas;MCEL;SMART IZI
10-Dec;88;Enviadas;MCEL;SMART IZI
11-Dec;121;Enviadas;MCEL;SMART IZI
12-Dec;132;Enviadas;MCEL;SMART IZI
13-Dec;219;Enviadas;MCEL;SMART IZI
14-Dec;102;Enviadas;MCEL;SMART IZI
15-Dec;310;Enviadas;MCEL;SMART IZI
16-Dec;99;Enviadas;MCEL;SMART IZI
17-Dec;160;Enviadas;MCEL;SMART IZI
18-Dec;203;Enviadas;MCEL;SMART IZI
19-Dec;188;Enviadas;MCEL;SMART IZI
20-Dec;224;Enviadas;MCEL;SMART IZI
21-Dec;219;Enviadas;MCEL;SMART IZI
22-Dec;199;Enviadas;MCEL;SMART IZI
23-Dec;124;Enviadas;MCEL;SMART IZI
24-Dec;90;Enviadas;MCEL;SMART IZI
25-Dec;83;Enviadas;MCEL;SMART IZI
26-Dec;131;Enviadas;MCEL;SMART IZI
27-Dec;200;Enviadas;MCEL;SMART IZI
28-Dec;173;Enviadas;MCEL;SMART IZI
29-Dec;150;Enviadas;MCEL;SMART IZI
30-Dec;89;Enviadas;MCEL;SMART IZI
31-Dec;74;Enviadas;MCEL;SMART IZI
01-Dec;69266;Enviadas;MCEL ;IZI
01-jan;2;Enviadas;MCEL ;IZI
02-Dec;55004;Enviadas;MCEL ;IZI
03-Dec;41925;Enviadas;MCEL ;IZI
04-Dec;54760;Enviadas;MCEL ;IZI
05-Dec;56822;Enviadas;MCEL ;IZI
06-Dec;59344;Enviadas;MCEL ;IZI
07-Dec;56227;Enviadas;MCEL ;IZI
08-Dec;56278;Enviadas;MCEL ;IZI
09-Dec;46875;Enviadas;MCEL ;IZI
10-Dec;36625;Enviadas;MCEL ;IZI
11-Dec;48549;Enviadas;MCEL ;IZI
12-Dec;52337;Enviadas;MCEL ;IZI
13-Dec;56108;Enviadas;MCEL ;IZI
14-Dec;75640;Enviadas;MCEL ;IZI
15-Dec;96684;Enviadas;MCEL ;IZI
16-Dec;45928;Enviadas;MCEL ;IZI
17-Dec;64715;Enviadas;MCEL ;IZI
18-Dec;76667;Enviadas;MCEL ;IZI
19-Dec;80159;Enviadas;MCEL ;IZI
20-Dec;98959;Enviadas;MCEL ;IZI
21-Dec;93382;Enviadas;MCEL ;IZI
22-Dec;89681;Enviadas;MCEL ;IZI
