CELNBR;Saida;Entrada;Duracao_segundos;Hora;Intervalo;Operadora;acima_abaixo
2,58823E+11;31-01-2018 19:45;31-01-2018 22:05;8421;22;a - 22>7;MCEL;ACIMA
2,58823E+11;31-01-2018 19:30;31-01-2018 21:19;6542;21;e - 18>22;MCEL;ACIMA
2,58823E+11;31-01-2018 19:15;31-01-2018 21:56;9689;21;e - 18>22;MCEL;ACIMA
2,58823E+11;31-01-2018 19:00;31-01-2018 20:52;6735;20;e - 18>22;MCEL;ACIMA
2,58823E+11;31-01-2018 18:45;31-01-2018 21:06;8477;21;e - 18>22;MCEL;ACIMA
2,58823E+11;31-01-2018 18:30;31-01-2018 20:47;8246;20;e - 18>22;MCEL;ACIMA
2,58823E+11;31-01-2018 18:15;31-01-2018 19:27;4361;19;e - 18>22;MCEL;ACIMA
2,58823E+11;31-01-2018 18:00;31-01-2018 19:40;6050;19;e - 18>22;MCEL;ACIMA
2,58823E+11;31-01-2018 17:45;31-01-2018 19:32;6426;19;e - 18>22;MCEL;ACIMA
2,58823E+11;31-01-2018 17:30;31-01-2018 18:54;5086;18;e - 18>22;MCEL;ACIMA
2,58823E+11;31-01-2018 17:15;31-01-2018 17:42;1649;17;d - 16>18;MCEL;ACIMA
2,58823E+11;31-01-2018 17:00;31-01-2018 17:04;295;17;d - 16>18;MCEL;ACIMA
2,58823E+11;31-01-2018 16:45;31-01-2018 16:45;13;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;31-01-2018 16:30;31-01-2018 16:30;15;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;31-01-2018 16:15;31-01-2018 16:15;8;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;31-01-2018 16:00;31-01-2018 16:00;7;16;d - 16>18;MCEL;ABAIXO
2,58823E+11;31-01-2018 15:45;31-01-2018 15:45;4;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 15:30;31-01-2018 15:30;3;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 15:15;31-01-2018 15:15;5;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 15:00;31-01-2018 15:00;13;15;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 14:45;31-01-2018 14:45;12;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 14:30;31-01-2018 14:30;14;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 14:15;31-01-2018 14:15;12;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 14:00;31-01-2018 14:00;9;14;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 13:45;31-01-2018 13:45;8;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 13:30;31-01-2018 13:30;8;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 13:15;31-01-2018 13:15;8;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 13:00;31-01-2018 13:00;12;13;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 12:45;31-01-2018 12:45;5;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 12:30;31-01-2018 12:30;11;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 12:15;31-01-2018 12:15;8;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 12:00;31-01-2018 12:00;10;12;c - 12>16;MCEL;ABAIXO
2,58823E+11;31-01-2018 11:45;31-01-2018 11:45;5;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;31-01-2018 11:30;31-01-2018 11:30;7;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;31-01-2018 11:15;31-01-2018 11:15;10;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;31-01-2018 11:00;31-01-2018 11:00;15;11;b - 7>12;MCEL;ABAIXO
2,58823E+11;31-01-2018 10:45;31-01-2018 10:45;12;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;31-01-2018 10:30;31-01-2018 10:30;18;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;31-01-2018 10:15;31-01-2018 10:15;5;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;31-01-2018 10:00;31-01-2018 10:00;8;10;b - 7>12;MCEL;ABAIXO
2,58823E+11;31-01-2018 09:45;31-01-2018 09:45;14;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;31-01-2018 09:30;31-01-2018 09:30;7;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;31-01-2018 09:15;31-01-2018 09:16;75;9;b - 7>12;MCEL;ACIMA
2,58823E+11;31-01-2018 09:00;31-01-2018 09:00;4;9;b - 7>12;MCEL;ABAIXO
2,58823E+11;31-01-2018 08:45;31-01-2018 08:45;7;8;b - 7>12;MCEL;ABAIXO
