CELNBR;Saida;Entrada;Duracao_segundos;Hora;Intervalo;Operadora;acima_abaixo
2,58875E+11;24-11-2017 12:30;24-11-2017 12:30;5;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;24-11-2017 12:15;24-11-2017 12:15;7;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;24-11-2017 12:00;24-11-2017 12:00;6;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;24-11-2017 11:45;24-11-2017 11:45;5;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 11:30;24-11-2017 11:30;5;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 11:15;24-11-2017 11:15;4;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 11:00;24-11-2017 11:00;4;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 10:45;24-11-2017 10:45;5;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 10:30;24-11-2017 10:30;7;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 10:15;24-11-2017 10:15;3;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 10:00;24-11-2017 10:00;5;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 09:45;24-11-2017 09:45;6;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 09:30;24-11-2017 09:30;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 09:15;24-11-2017 09:15;4;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 09:00;24-11-2017 09:00;4;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 08:45;24-11-2017 08:45;5;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 08:30;24-11-2017 08:30;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 08:15;24-11-2017 08:15;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;24-11-2017 08:00;24-11-2017 08:00;6;8;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 19:45;23-11-2017 19:45;6;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 19:30;23-11-2017 19:30;6;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 19:15;23-11-2017 19:15;4;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 19:00;23-11-2017 19:00;4;19;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 18:45;23-11-2017 18:45;5;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 18:30;23-11-2017 18:30;8;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 18:15;23-11-2017 18:15;6;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 18:00;23-11-2017 18:00;6;18;e - 18>22;MVTEL;ABAIXO
2,58875E+11;23-11-2017 17:45;23-11-2017 17:45;5;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 17:30;23-11-2017 17:30;13;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 17:15;23-11-2017 17:15;4;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 17:00;23-11-2017 17:00;4;17;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 16:45;23-11-2017 16:45;4;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 16:30;23-11-2017 16:30;3;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 16:15;23-11-2017 16:15;5;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 16:00;23-11-2017 16:00;3;16;d - 16>18;MVTEL;ABAIXO
2,58875E+11;23-11-2017 15:45;23-11-2017 15:45;5;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 15:30;23-11-2017 15:30;6;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 15:15;23-11-2017 15:15;5;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 15:00;23-11-2017 15:00;5;15;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 14:45;23-11-2017 14:45;6;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 14:30;23-11-2017 14:30;5;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 14:15;23-11-2017 14:15;5;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 14:00;23-11-2017 14:00;5;14;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 13:45;23-11-2017 13:45;5;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 13:30;23-11-2017 13:30;4;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 13:15;23-11-2017 13:15;7;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 13:00;23-11-2017 13:00;4;13;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 12:45;23-11-2017 12:45;4;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 12:30;23-11-2017 12:30;6;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 12:15;23-11-2017 12:15;6;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 12:00;23-11-2017 12:00;6;12;c - 12>16;MVTEL;ABAIXO
2,58875E+11;23-11-2017 11:45;23-11-2017 11:45;4;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 11:30;23-11-2017 11:30;3;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 11:15;23-11-2017 11:15;5;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 11:00;23-11-2017 11:00;5;11;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 10:45;23-11-2017 10:45;7;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 10:30;23-11-2017 10:30;7;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 10:15;23-11-2017 10:15;6;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 10:00;23-11-2017 10:00;5;10;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 09:45;23-11-2017 09:45;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 09:30;23-11-2017 09:30;8;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 09:15;23-11-2017 09:15;3;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 09:00;23-11-2017 09:00;5;9;b - 7>12;MVTEL;ABAIXO
2,58875E+11;23-11-2017 08:45;23-11-2017 08:45;5;8;b - 7>12;MVTEL;ABAIXO
